--- N = 184 --- D = 0.60 ---
* * * Solver: RTS * * *
	us_sol	X1	X2	scs	SCS	estEng	CAP>=N
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	0,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	7	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
--- N = 184 --- D = 0.68 ---
* * * Solver: RTS * * *
	us_sol	X1	X2	scs	SCS	estEng	CAP>=N
	51	184	0	1,-,	1	0.342	1
	14	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	11	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	13	184	0	1,-,	1	0.342	1
	9	184	0	1,-,	1	0.342	1
	12	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	12	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	9	184	0	1,-,	1	0.342	1
	9	184	0	1,-,	1	0.342	1
	12	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	11	184	0	1,-,	1	0.342	1
	13	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
